Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 11:08:35,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4.0,0,0,2,"Did a little bit of defense (not much)",Shawn Song,885b8ba1-d130-450c-81a8-3d6356dcb775,end
21 11:52:21,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2.0,0,1,3,"Add 1 to my rotor counts for all robots since im retarded, before this point",Not Noah ,9243a672-1f60-4479-89f4-8cd5ddd09a84,end
21 12:56:46,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3.0,0,1,3,"Gear got stuck inside the robot",Beckham Pope,5d211b4c-f6b9-43a8-b59e-6653a0586ba7,end
21 14:37:42,26,0,0,0,0,0,1,0,0,0,0,3,1,1,0,2,0,3.0,0,0,3,"",Matt,577914b8-62a7-44c2-96c6-30125e3ccaf7,end
