Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:08:09,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1,"",Abi,fbe5be88-3db3-4b3e-97ef-73553b4a5a43,end
21 12:00:16,10,0,0,0,0,1,1,0,0,0,0,4,0,1,0,2,1,3.0,0,0,0,"",Arman Azroy,8cabcf03-f37c-45eb-9b5a-d904d855b5d6,end
21 12:45:11,14,0,0,0,0,0,1,0,0,13,0,3,0,1,0,1,0,2.0,0,0,2,"",Not Noah ,4583d090-684e-4311-bd34-e016aff3fdf7,end
21 13:15:12,17,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,4.0,2,0,4,"very good at gears ",Renee,e7fb67d9-8bc6-4df1-89bc-c34a79814585,end
21 12:55:24,21,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,3.0,1,1,3,"",Eric B.,170a3211-19fb-44c6-bd62-f02055e77944,end
