Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:17:17,1,0,0,10,0,0,0,0,0,0,0,4,1,0,0,0,0,3.0,1,0,2,"",Beckham Pope,08cb7f63-e128-4088-b557-ad1e0080e597,end
21 11:39:17,8,0,0,30,0,0,0,0,0,0,0,3,0,1,0,0,0,2.0,0,0,2,"",Sean Green ,4f092925-2492-4762-a7db-75402d96393a,end
21 11:44:38,14,0,0,0,0,0,0,0,0,52,0,0,0,1,0,0,0,3.0,0,0,3,"",Abi,5817e3b6-e796-45b5-9b5e-b2907054a1df,end
21 13:34:48,19,0,0,15,20,0,0,0,0,0,0,2,0,1,0,0,1,2.0,0,0,2,"",Not Noah,734c5945-0544-4949-b4ef-156b3df3dd5e,end
21 14:10:56,23,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3.0,0,0,3,"",Matt,fced4909-7b3a-4563-a8f5-6f506088c596,end
21 14:37:27,26,0,0,22,0,1,0,0,0,0,0,1,0,1,0,0,0,3.0,0,0,3,"",Renee,bbda98d1-3a37-4a0c-a948-69137d50e79a,end
