Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 09:56:28,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,3.0,0,0,1,"",Abi,0dbf6494-3883-4b75-84c3-746969a570da,end
21 11:51:26,9,0,0,0,0,0,1,0,0,0,0,4,0,1,0,3,0,3.0,0,0,3,"",Beckham Pope,4956966d-869f-41da-be56-92762ad6b479,end
21 12:08:57,11,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,3,3.0,0,0,3,"",Beckham Pope,ac157d5a-d8f0-4f96-8d2f-8590d21f4710,end
