Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 07:32:29,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,0,1,"",Abi,e294773e-78b4-430d-8108-24a6bcea0812,end
21 11:18:16,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,3,1.0,2,0,2,"",Shawn Song,0571b549-0cf5-40a9-a08b-3f423333e5e0,end
21 12:19:15,12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2.0,0,0,3,"",Not Noah ,15c08de9-1556-49c1-9c1c-968722e4f057,end
21 14:00:21,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,2,1,2,"",Renee,337e5de5-bf10-4a66-bacd-e6c46c0a7fae,end
21 14:44:58,27,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,1,1.0,1,0,2,"",Beckham Pope,7d61f3d4-8f62-4a58-8645-0723772a2cef,end
