Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:56:38,4,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,0,3.0,0,0,2,"",Shawn Song,7d075743-84a5-423a-bbf2-642ac6aab7d9,end
21 11:17:45,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,0,2,"Dead until climb",Beckham Pope,be863322-481a-4c19-9517-fef8fe5a099e,end
21 12:09:03,11,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3.0,0,0,3,"",Matt,a4c56dad-652d-416b-9ff5-bb6ee46395df,end
21 14:37:41,26,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,0,2.0,0,0,3,"",Beckham Pope,dcb9c647-e850-409b-842f-88a70f404cf0,end
