Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:18:31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,died in auto|c came back to life of about 5 seconds then died on a gear peg.,Cohen Shipp-Wiederspecher,4c47f6fc-fce2-4aad-9a6a-d888502207d1,end
21 11:18:06,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,,Not Noah ,2a62884f-6022-4779-890c-4470da64bd30,end
21 11:54:48,15,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,,Abi,f5a1c7c8-e2df-4744-bfa4-ed3cb56b66f6,end
21 13:24:47,18,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,3,great great wall,Not Noah,9f0bbfba-16e6-4c59-9574-94bd4ce805a9,end
21 14:01:57,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,almost fell because of its height,Halil ,644ce78a-e82d-4f60-ab15-8cdf6499c7f3,end
