Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 11:09:00,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-1,1,2.0,0,0,0,"Needed certain gear height and for human player to lift gear out of pocket.",Cohen Shipp-Wiederspecher,cbc411e1-fed6-47a0-b0ba-1347d0e166e5,end
21 10:27:57,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,2,0,0,"",Abi,9deb6b95-2c18-478d-a35c-cd27e50d90bf,end
21 12:33:52,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,1.0,2,0,3,"Just sat there in the middle of the field for 90% of the match",Beckham Pope,88854646-956a-40e9-b71b-8ea54f03c259,end
21 13:52:08,21,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1.0,1,0,1,"",Not Noah,9849bcc1-4f29-49e9-b769-e7e661800c83,end
21 13:34:30,19,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2.0,0,0,3,"",Renee,1ce7faa5-177b-4bb6-8055-6e667f02f74e,end
