Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 11:08:16,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,0,3.0,0,0,3,"",Sean Green ,b3269fed-5b6b-4410-baa0-0f8aa623a4ad,end
21 11:39:46,8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,1.0,0,0,2,"",Beckham Pope,0a8fe48b-e86d-4f1d-b59a-47f4aaf23780,end
21 11:41:44,8,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3.0,0,0,0,"",Arman Azroy,2e856b7d-0190-4797-9f72-4854c44d243f,end
21 12:04:10,16,0,0,0,0,1,0,0,0,0,0,2,0,1,0,-1,1,3.0,0,0,3,"",Eric,90ecfd6d-98be-474b-995a-331b02637c85,end
21 14:20:24,24,0,0,0,0,1,0,0,6,0,0,1,0,1,0,0,0,3.0,0,0,3,"robot kept randomly shooting not sure why",Not Noah,de4551eb-c4d2-4360-b050-2c3aab1d4739,end
21 14:45:13,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3.0,0,1,2,"",Renee,fbdf0951-746c-4095-963b-1222fa90918f,end
