Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:32:11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,1,2,1,0,3,,Beckham Pope,1c45370b-06f4-4dee-a07d-9a83bd0759cb,end
21 10:50:44,9,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4,0,0,3,,Abi,e7fe4c40-8ff3-407c-ba72-f1e2fbc89e1c,end
21 14:30:00,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,zombie twice,Matt,bb36f0d8-f971-451a-b633-5d571a47e8ac,end
21 15:01:36,29,0,0,0,0,0,0,0,0,0,0,2,0,0,1,-1,0,3,2,0,3,Died in the middle of the|c match reversible bumber came undone,Beckham Pope,21516538-ca35-4c2a-8a47-0d9908435b36,end
