Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 07:19:59,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3.0,1,0,3,"",Abi,389d9bc4-01fe-4756-bbd5-74442995389a,end
21 11:59:41,10,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2.0,0,0,3,"",Matt,8a9c7b52-b67f-4e94-8d3d-14212b4e9684,end
21 12:19:36,12,0,0,0,0,1,1,0,0,0,0,2,1,1,0,2,2,2.0,0,0,0,"",Arman Azroy,e84ce7d4-dfaf-4dd8-b7db-6938859eb944,end
21 13:04:31,16,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,3.0,1,0,3,"I dunno what happened with their climbing.",Cohen Shipp-Wiedersprecher,7ea03260-a8a2-4f7a-90db-dffff89ef5b5,end
21 14:29:00,25,0,0,0,0,1,0,0,0,0,0,3,0,0,0,-1,0,3.0,1,0,3,"",Beckham Pope,2b5d67d2-574a-4ce3-b649-9faf82bda4b3,end
