Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:42:57,3,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,4.0,0,0,3,"",Beckham Pope,f5c806ff-833a-420f-81bc-c58dfdc1889a,end
21 11:40:17,8,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,3.0,0,1,3,"",Matt,7bbe3690-2366-413d-919d-b1b5cd263515,end
21 14:00:37,21,0,0,0,0,0,1,0,0,0,0,3,0,1,0,2,0,3.0,0,0,3,"",Not Noah,cc30eb76-914f-4684-a001-108c07175193,end
