Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:32:37,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,,Not Noah ,618b1535-876f-4a94-872f-e92c11616c13,end
21 11:50:59,9,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,3,0,0,3,,Matt,f5f319bb-1d7d-441c-a095-5e6d77093dae,end
21 13:05:08,16,0,0,0,0,0,0,0,0,0,0,2,0,0,1,-1,0,2,1,0,3,Did nothing in auto|c died for ~10 seconds in the middle of the match,Beckham Pope,a8fee2d4-482d-4211-85d7-641869ca6035,end
21 14:01:10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,,Matt,195de58d-dbc5-4c16-b658-10210a4c38c5,end
21 14:52:52,28,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,4,0,0,3,,Renee,aac76caf-f63b-40d0-8fd1-5ca2f9f800d0,end
