Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:17:53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1.0,2,0,0,"Robot didn't move 	",Sean Green ,41b95d87-f2e1-4464-b1b4-b97015b2ae56,end
21 11:28:25,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,2.0,0,1,0,"Gear was stick inside robot. Adapted to play defence.",Cohen Shipp-Wiederspecher,94eda0ef-09b2-4560-97c6-86c98ff8da61,end
21 12:44:57,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,2.0,1,0,2,"Climb was a success but the rope snapped",Beckham Pope,a199ea37-b58e-4595-bbd0-8b151e65ce21,end
21 14:19:55,24,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,2.0,2,0,3,"",Matt,4b6b6859-caf4-4c58-9824-18c3c8f57617,end
21 12:43:56,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3.0,0,0,2,"got a gear stuck and couldn't get it out	",Eric B.,717129ad-557d-4f0f-b3c1-6484b3429129,end
