Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:57:03,4,0,0,0,0,0,0,7,15,0,0,2,0,0,0,0,0,3.0,1,0,1,"",Not Noah ,5f7bca54-3199-4d9e-8df5-a2fdae1154a3,end
21 10:39:51,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,1,0,2,"",Abi,5cc66c86-5f07-4808-a31a-7a6314e5e9d7,end
21 13:25:55,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,3.0,2,1,0,"that had yellow balls bot did not shoot",Renee,ed288cd9-5f83-4e93-b617-d6074d06dcf8,end
21 13:52:13,21,0,0,0,0,0,1,6,6,0,0,3,0,1,0,3,0,4.0,0,0,3,"",Beckham Pope,d16d6451-d1ac-4486-b4dc-70cade659649,end
