Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 09:42:34,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,0,0,1,"",Abi,f4e2e795-3006-49a9-9d81-87ffe3de4d8f,end
21 11:59:34,10,0,0,0,0,1,0,0,0,0,0,1,0,1,0,-1,0,1.0,0,0,2,"",Beckham Pope,23a7c22a-fa2c-4222-b8a7-3b5862ed1faa,end
21 14:29:09,25,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,2.0,0,0,3,"",Renee,23fdfaa6-562e-44b8-b75d-c66588831f7e,end
21 12:35:10,19,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,1.0,0,0,2,"",Eric,0243985d-a7d2-4496-8c2b-403f2dca4b7e,end
