Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:18:58,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.0,2,0,3,"Many blind spots",Not Noah ,a47c88c5-f231-43bb-8694-049223d8f8bf,end
21 11:18:41,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2.0,1,0,2,"Could not grab the rope.",Cohen Shipp-Wiederspecher,e9ed1e61-6f7c-4549-8ad0-e3ed94515449,end
21 11:33:20,13,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1.0,0,0,3,"",Abi,62bbffb2-d922-46c6-ba44-0089a069625e,end
21 14:01:48,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1.0,0,0,2,"Couldn't even pick up a single gear",Beckham Pope,33d5dd85-42ee-454a-bc09-6909a2303326,end
21 12:25:14,18,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2.0,0,0,3,"slow driving",Eric,e6e6dbaf-e0f1-42ec-b7ed-97e64cd1c887,end
