Date and Time Of Match,Round,autoHighComplete,autoHighMissed,autoLowComplete,autoLowMissed,autoBaselineGroup,autoGear,teleHighComplete,teleHighFailed,teleLowComplete,teleLowFailed,teleGearComplete,teleGearFailed,Did Climb,died,autoGearPlacement,teleGearDropped,Drive Rating,ClimbExtraData (Includes no attempt),defense,rotors,endgameComments,Scout,UUID,end
21 10:32:16,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3.0,0,0,3,"",Sean Green ,9fb25e17-51fc-4d41-b621-d283eac4648a,end
21 11:39:57,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,0,3.0,1,0,1,"",Not Noah ,edd4a039-25fd-4497-b1ab-d6b2bb013d4d,end
21 12:55:52,15,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,3.0,1,0,3,"Light didn't go but should be good climb.",Gregory Kelly,a25c4c1f-8f2f-4c74-baf8-3c5baf3ca0ad,end
21 13:44:04,20,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,2.0,2,0,2,"",Matt,5f74afae-aea5-4425-896a-6d34c4bd476f,end
21 14:10:56,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,0,2.0,1,0,2,"",Not Noah,8c9fd164-b3f8-4b3c-9e4a-8c8fd319ddf2,end
